main	analytics-server	hash_cap	138	29
main	analytics-server	hash_lower	138	29
main	analytics-server	hash_upper	138	29
main	analytics-server	messagedigest	2	1
main	analytics-server	sha256_hyphen	1	1
main	analytics-server	uuid_lower	16	10
main	analytics-server	uuid_mixed	16	10
main	analytics-server	uuid_upper	16	10
main	mall-simulator	hash_cap	29	7
main	mall-simulator	hash_lower	29	7
main	mall-simulator	hash_upper	29	7
main	mall-simulator	uuid_lower	11	5
main	mall-simulator	uuid_mixed	11	5
main	mall-simulator	uuid_upper	11	5
main	spark-jobs	hash_cap	14	4
main	spark-jobs	hash_lower	14	4
main	spark-jobs	hash_upper	14	4
main	spark-jobs	messagedigest	2	1
main	spark-jobs	proxy_key_cn	1	1
main	spark-jobs	sha256	6	3
main	spark-jobs	sha256_hyphen	3	2
main	spark-jobs	sha256_upper	6	3
main	synthetic-data-generator	hash_cap	91	16
main	synthetic-data-generator	hash_lower	91	16
main	synthetic-data-generator	hash_upper	91	16
main	synthetic-data-generator	messagedigest	6	2
main	synthetic-data-generator	sha256	6	1
main	synthetic-data-generator	sha256_hyphen	1	1
main	synthetic-data-generator	sha256_upper	6	1
main	synthetic-data-generator	uuid_lower	4	2
main	synthetic-data-generator	uuid_mixed	4	2
main	synthetic-data-generator	uuid_upper	4	2
test	analytics-server	hash_cap	121	30
test	analytics-server	hash_lower	121	30
test	analytics-server	hash_upper	121	30
test	analytics-server	proxy_key_cn	1	1
test	analytics-server	surrogate	2	2
test	analytics-server	surrogate_cap	2	2
test	analytics-server	uuid_lower	2	2
test	analytics-server	uuid_mixed	2	2
test	analytics-server	uuid_upper	2	2
test	mall-simulator	hash_cap	19	2
test	mall-simulator	hash_lower	19	2
test	mall-simulator	hash_upper	19	2
test	mall-simulator	uuid_lower	1	1
test	mall-simulator	uuid_mixed	1	1
test	mall-simulator	uuid_upper	1	1
test	spark-jobs	hash_cap	29	5
test	spark-jobs	hash_lower	29	5
test	spark-jobs	hash_upper	29	5
test	spark-jobs	messagedigest	2	1
test	spark-jobs	sha256	25	6
test	spark-jobs	sha256_hyphen	8	3
test	spark-jobs	sha256_upper	25	6
test	synthetic-data-generator	hash_cap	42	10
test	synthetic-data-generator	hash_lower	42	10
test	synthetic-data-generator	hash_upper	42	10
test	synthetic-data-generator	messagedigest	8	3
test	synthetic-data-generator	sha256	10	3
test	synthetic-data-generator	sha256_hyphen	9	3
test	synthetic-data-generator	sha256_upper	10	3
test	synthetic-data-generator	uuid_lower	13	3
test	synthetic-data-generator	uuid_mixed	13	3
test	synthetic-data-generator	uuid_upper	13	3
