event_id(uuid,真实)	89a6db2c-9ecb-4be0-a24b-9f697da00686	36	6fc76bf4b1991ec44e775281d24d2fe9fd9e65fad75d5c99aa4215618d565cba	6fc76bf4b1991ec4	6fc76bf4	8054525157271215812
user_id(雪花19,真实)	2098607948334395394	19	baef47dbad23d3c74d4d36a75ea1d3f5c8b6be8c177289120e9ff13a21c50af5	baef47dbad23d3c7	baef47db	4246691982461883335
product_id(4位,目录)	1001	4	fe675fe7aaee830b6fed09b64e034f84dcbdaeb429d9cccd4ebb90e15af8dd71	fe675fe7aaee830b	fe675fe7	9108354219989959435
product_id(雪花19,真实)	2096441909987262465	19	a3d1d29c12b8eff56ad416f11926c648d7868615f4ef7e6d2a0205c6231653a7	a3d1d29c12b8eff5	a3d1d29c	2581075629230845941
order_id(雪花19,真实)	2098607950855172098	19	943236cd1964cf8a3d8c37c4a626f7b83ea01d561a7d58d2254adb5dbea5504c	943236cd1964cf8a	943236cd	1455285884116324234
payment_id(雪花19,真实)	2098607951186522113	19	2445ed7b9a9c78c6ce0b00e1b051dac8b04829205fc5630cc5b305a82d5f619c	2445ed7b9a9c78c6	2445ed7b	2613756273889147078
refund_id(雪花19,真实)	2098607951572398081	19	a81923ab1224869aa453a39d37bc32ce9a52874c54eae3d05d456cf96dd1c110	a81923ab1224869a	a81923ab	2889379853585647258
黄金集 payment_id(P-1001)	P-1001	6	18b5cb199fb43156bb98efced8bcc9391e7c65728e630b3e712871635db784c9	18b5cb199fb43156	18b5cb19	1780552538608906582
黄金集 refund_id(R-1003-A)	R-1003-A	8	d76e51c44cd06079b7a3f0e102830c731e9eb4c3a50a3a0d2109fa1cac62ab2e	d76e51c44cd06079	d76e51c4	6300062832282067065
黄金集 event_id(golden-evt-001)	golden-evt-001	14	88b79381702b5b3437c00edfb1f87b51271ef562d08f449c6f016a58be24d511	88b79381702b5b34	88b79381	628132857183427380
契约文档书写的 U000065	U000065	7	62afbd33dc4cbd1e8e991cb32588fb131cee704bc4dbb481164d0b3922e3b297	62afbd33dc4cbd1e	62afbd33	7111110367078300958
契约文档书写的 P00030	P00030	6	5548db74866ddf71c15b43068665de2081063a68e32d2a57abaf494461a1d93c	5548db74866ddf71	5548db74	6145402985065078641
契约文档书写的 O00000001	O00000001	9	bf5144053c03447d3f3fb6af069c2cfad9267acda6b51b9ffc8d4ee5f09900f0	bf5144053c03447d	bf514405	4562502686775395453
