chk	pass	detail
E3_00_jar_built	1	jar=D:\Develop_code\GraduationProject\spark-jobs\target\p2-01-built\spark-jobs-0.1.0-SNAPSHOT-p2-01-e3.jar bytes=284147 sha=bd04c273b3de76db7773d2a08c2bb936e5b57e500cb3afe318625f41817e8764 classes=105 classesContentSha=d390b5291bbb817db77c5153be3e3008921ab70271ec76257a94645c4b00e8b1
E3_01_sci_exit_ok	1	sci(p201v2) exit=0
E3_02_odl_exit_ok	1	odl(p201v2) exit=0
E3_03_golden_bytes	1	lines=55 bytes=18430 sha=2351bcc35e04ccd278638f07247bc37e9c4d402cc4736cd2a4d4b70f4232b11c
E3_04_sci_statements_37	1	sci(p201v2) = {"jobCode":"sci","inputRecords":0,"outputRecords":37,"rejectedRecords":0,"attemptNo":1,"status":"SUCCESS","message":"ok","elapsedMs":7243,"outputPartitions":[],"checks":[]}
E3_05_sciB_statements_37	1	sci(p201v2b) = {"jobCode":"sci","inputRecords":0,"outputRecords":37,"rejectedRecords":0,"attemptNo":1,"status":"SUCCESS","message":"ok","elapsedMs":7026,"outputPartitions":[],"checks":[]}
E3_06_odl_status_success	1	odl status must be SUCCESS
E3_07_odlB_status_success	1	odl-B status must be SUCCESS
E3_10_jobresult_input	1	odl json: {"jobCode":"odl","inputRecords":55,"outputRecords":52,"rejectedRecords":3,"attemptNo":1,"status":"SUCCESS","message":"accepted=52 rejectedVersionKeys=3 topics=4 sourceSystem=mock-mall","elapsedMs":13074,"outputPartitions":[{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":6,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=10"},{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":3,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=11"},{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":3,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=13"},{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":4,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=15"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":4,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=08"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=10"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=11"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=12"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=13"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=14"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=15"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=16"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=10"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=11"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":4,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=13"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=14"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":5,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=15"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=16"},{"table":"p201v2_ods.ods_trade_event","dt":"20260902","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_trade_event/dt=20260902/hour=00"},{"table":"p201v2_ods.ods_user_event","dt":"20260901","rowCount":3,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_user_event/dt=20260901/hour=09"},{"table":"p201v2_ods.ods_user_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-140902/warehouse/p201v2_ods.db/ods_user_event/dt=20260901/hour=12"}],"checks":[]}
E3_11_jobresult_accepted	1	expect outputRecords=52
E3_12_jobresult_rejected	1	expect rejectedRecords=3
E3_13_sql_total_rows	0	A1_total_accepted=
E3_14_sql_tables_4	1	A2_ods_table_count=4 tables=ods_behavior_event,ods_product_event,ods_trade_event,ods_user_event
E3_15_table_row_sum_52	0	user+product+behavior+trade=0 (user= product= behavior= trade=)
E3_16_probe_dual_channel_52	0	F3_probe_dual_channel_ok=/52 (source_system=probe-inj-2026 且 raw_source_system=mock-mall)
E3_18_probe_payload_nonnull_52	0	F4_probe_payload_nonnull_rows=/52 (换注入值不影响 v1 payload 列)
E3_17_odl_message_facts	1	message="message":"accepted=52 rejectedVersionKeys=3 topics=4 sourceSystem=mock-mall"
E3_20_newcols_present	1	A3=raw_event_type,raw_source_system,landing_file,payload_json,payload_hash
E3_21_newcols_not_null	0	A4_newcol_nulls=
E3_22_raw_event_type	0	A5_raw_event_type_mismatch=
E3_23_landing_file_value	0	A6_landing_file=
E3_24_source_file_eq	0	A7_source_file_ne_landing_file=
E3_30_join_matched	0	B0_join_rows=/52（四表 ⋈ 源行）
E3_31_payload_byte_equal	0	B1_payload_ne_source_slice=
E3_32_payload_hash_self	0	B2_hash_ne_sha2_payload=
E3_33_hash_matches_src	0	B3_hash_ne_sha2_source_slice=
E3_34_sample_len	0	B4_avg/min/max payload len=//
E3_35_payload_braced	0	B5_payload_braced=/52 行形如 {...}
E3_36_hash_shape	0	B6_payload_hash_lowerhex64=（小写十六进制 64 位）
E3_37_join_rows_user	0	B7_rows_user=
E3_38_join_rows_trade	0	B8_rows_trade=
E3_40_v1_col_order	0	describe=event_id,event_type,event_time,ingest_time,source_system,schema_version,trace_id,payload_user_id,payload_age_group,payload_city_level,payload_member_level,payload_register_time,source_file,ingest_batch_id,raw_event_type,raw_source_system,landing_file,payload_json,payload_hash,dt,hour,dt,hour,marker
E3_41_v1_types	1	types[0..13]=string,string,string,string,string,string,string,string,string,string,string,string,string,bigint
E3_42_v1_envelope_values	0	C1_v1_envelope_mismatch=（四表）
E3_43_v1_payload_values	0	C2_user_payload_mismatch=（独立 oracle: get_json_object）
E3_44_ingest_batch_id	0	C3_ingest_batch_id= batchId=2026091201
E3_45_v1_payload_all4	0	C4 product= behavior= trade=（+ user 见 E3_43）
E3_46_v1_payload_nonnull_rows	0	C5 首列非空行数 user= product= behavior= trade=（期望 4/14/16/18；缺陷期为全 0）
E3_47_v1_projection_oracle	0	C7 user= trade=（v1 闭合 schema 解析投影；含 DECIMAL 与数组型 items）
E3_48_trade_items_reading	0	实测读数 C5_trade_items_ods= src_head=（记录用途，不断言语义）
E3_50_injected_channel	0	D1_probe_source_system= expect=probe-inj-2026
E3_51_row_channel	0	D2_probe_raw_source_system= expect=mock-mall
E3_52_main_both_equal	0	D3_main_source_pair=
E3_53_probe_message	1	odl-B message 含 sourceSystem=probe-inj-2026
E3_54_probe_55_52_3	1	odl-B 同样 55/52/3（换注入值不改变行集）
E3_60_no_dw_databases	1	E1_dw_databases=0 dbs=default|p201v2_ads|p201v2_dim|p201v2_dwd|p201v2_dws|p201v2_ods|p201v2b_ads|p201v2b_dim|p201v2b_dwd|p201v2b_dws|p201v2b_ods|marker
E3_61_prefix_databases	1	E2_prefix_databases=10（2 前缀 × 5 层）
E3_63_no_unexpected_databases	0	E3_other_databases=1（除 default 与本任务两个前缀外无其它库）
