chk	pass	detail
E3_00_jar_built	1	jar=D:\Develop_code\GraduationProject\spark-jobs\target\p2-01-built\spark-jobs-0.1.0-SNAPSHOT-p2-01-e3.jar bytes=284147 sha=2ac3b6512715b3057b9e0736d0d2dba28ae1ce200ef15c5371aaa0d24e4069e5 classes=105 classesContentSha=d390b5291bbb817db77c5153be3e3008921ab70271ec76257a94645c4b00e8b1
E3_01_sci_exit_ok	1	sci(p201v2) exit=0
E3_02_odl_exit_ok	1	odl(p201v2) exit=0
E3_03_golden_bytes	1	lines=55 bytes=18430 sha=2351bcc35e04ccd278638f07247bc37e9c4d402cc4736cd2a4d4b70f4232b11c
E3_04_sci_statements_37	1	sci(p201v2) = {"jobCode":"sci","inputRecords":0,"outputRecords":37,"rejectedRecords":0,"attemptNo":1,"status":"SUCCESS","message":"ok","elapsedMs":8397,"outputPartitions":[],"checks":[]}
E3_05_sciB_statements_37	1	sci(p201v2b) = {"jobCode":"sci","inputRecords":0,"outputRecords":37,"rejectedRecords":0,"attemptNo":1,"status":"SUCCESS","message":"ok","elapsedMs":6428,"outputPartitions":[],"checks":[]}
E3_06_odl_status_success	1	odl status must be SUCCESS
E3_07_odlB_status_success	1	odl-B status must be SUCCESS
E3_10_jobresult_input	1	odl json: {"jobCode":"odl","inputRecords":55,"outputRecords":52,"rejectedRecords":3,"attemptNo":1,"status":"SUCCESS","message":"accepted=52 rejectedVersionKeys=3 topics=4 sourceSystem=mock-mall","elapsedMs":13073,"outputPartitions":[{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":6,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=10"},{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":3,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=11"},{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":3,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=13"},{"table":"p201v2_ods.ods_behavior_event","dt":"20260901","rowCount":4,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_behavior_event/dt=20260901/hour=15"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":4,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=08"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=10"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=11"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=12"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=13"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=14"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=15"},{"table":"p201v2_ods.ods_product_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_product_event/dt=20260901/hour=16"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=10"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=11"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":4,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=13"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=14"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":5,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=15"},{"table":"p201v2_ods.ods_trade_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260901/hour=16"},{"table":"p201v2_ods.ods_trade_event","dt":"20260902","rowCount":2,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_trade_event/dt=20260902/hour=00"},{"table":"p201v2_ods.ods_user_event","dt":"20260901","rowCount":3,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_user_event/dt=20260901/hour=09"},{"table":"p201v2_ods.ods_user_event","dt":"20260901","rowCount":1,"path":"file:/D:/Develop_code/GraduationProject/spark-jobs/target/p2-01-e3/20260912-141554/warehouse/p201v2_ods.db/ods_user_event/dt=20260901/hour=12"}],"checks":[]}
E3_11_jobresult_accepted	1	expect outputRecords=52
