row_id	family	expected_outcome	expected_reason_class	note
b3a-evt-0001	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: payment_id	order_paid 缺闸门必查字段 payment_id
b3a-evt-0002	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: amount	order_paid 缺闸门必查字段 amount
b3a-evt-0003	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: session_id	behavior 缺闸门必查字段 session_id
b3a-evt-0004	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: behavior_type	behavior 缺闸门必查字段 behavior_type
b3a-evt-0005	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: price	product_created 缺闸门必查字段 price
b3a-evt-0006	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: category_id	product_created 缺闸门必查字段 category_id
b3a-evt-0007	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: total_amount	order_created 缺闸门必查字段 total_amount
b3a-evt-0008	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: items	order_created 缺闸门必查字段 items
b3a-evt-0009	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: member_level	user_registered 缺闸门必查字段 member_level
b3a-evt-0010	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: age_group	user_registered 缺闸门必查字段 age_group
b3a-evt-0011	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: reason	order_cancelled 缺闸门必查字段 reason
b3a-evt-0012	B3A-1-缺闸门必需字段	QUARANTINE	payload 缺失必要字段: refund_id	refund_created 缺闸门必查字段 refund_id
b3a-evt-0013	B3A-2-缺契约必需(闸门未查)	QUARANTINE	拒绝或隔离并指明缺失必需字段 paid_at（不得静默按可选处理）	order_paid 缺 canonical-event.v1.schema.json required 字段 paid_at
b3a-evt-0014	B3A-2-缺契约必需(闸门未查)	QUARANTINE	拒绝或隔离并指明缺失必需字段 channel（不得静默按可选处理）	behavior 缺 canonical-event.v1.schema.json required 字段 channel
b3a-evt-0015	B3A-2-缺契约必需(闸门未查)	QUARANTINE	拒绝或隔离并指明缺失必需字段 brand_id（不得静默按可选处理）	product_created 缺 canonical-event.v1.schema.json required 字段 brand_id
b3a-evt-0016	B3A-2-缺契约必需(闸门未查)	QUARANTINE	拒绝或隔离并指明缺失必需字段 status（不得静默按可选处理）	product_created 缺 canonical-event.v1.schema.json required 字段 status
b3a-evt-0017	B3A-2-缺契约必需(闸门未查)	QUARANTINE	拒绝或隔离并指明缺失必需字段 city_level（不得静默按可选处理）	user_registered 缺 canonical-event.v1.schema.json required 字段 city_level
b3a-evt-0018	B3A-2-缺契约必需(闸门未查)	QUARANTINE	拒绝或隔离并指明缺失必需字段 register_time（不得静默按可选处理）	user_registered 缺 canonical-event.v1.schema.json required 字段 register_time
