row_id	family	expected_outcome	expected_reason_class	note
b2-1-evt-0001	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	behavior 缺 [channel]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0002	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	order_created 缺 [status,created_at]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0003	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	order_paid 缺 [paid_at]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0004	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	user_registered 缺 [city_level,register_time]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0005	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	product_created 缺 [brand_id,cost,status]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0006	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	behavior 缺 [channel]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0007	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	order_created 缺 [status,created_at]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0008	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	order_paid 缺 [paid_at]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0009	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	user_registered 缺 [city_level,register_time]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0010	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	product_created 缺 [brand_id,cost,status]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0011	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	behavior 缺 [channel]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0012	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	order_created 缺 [status,created_at]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0013	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	order_paid 缺 [paid_at]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0014	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	user_registered 缺 [city_level,register_time]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
b2-1-evt-0015	B2-1-缺契约必需(闸门未查)	ACCEPT	缺可选字段必须由**显式规则**处理，并在采集/质量结果中**展示能力限制**；不得静默补造值	product_created 缺 [brand_id,cost,status]：canonical-event.v1.schema.json required 有、EventContractValidator.missingPayloadField 不查
