# D-R9-2 直接证据：逐快照指标值（analytics_metric 直读，2026-09-11 复核）
# S20260901_29 = 修复前 run 29 发布的快照，GMV/净销售额被维度扇出放大 4 倍（8168/5972）；当前 ACTIVE = S20260901_30（黄金值 2042/1493），29 已 ARCHIVED
snapshot_id	status	metric_code	metric_value
S20260901_23	ARCHIVED	avg_order_value	408.4000
S20260901_23	ARCHIVED	gmv	2042.0000
S20260901_23	ARCHIVED	net_sale	1493.0000
S20260901_23	ARCHIVED	paid_order_cnt	5.0000
S20260901_24	ARCHIVED	avg_order_value	408.4000
S20260901_24	ARCHIVED	gmv	2042.0000
S20260901_24	ARCHIVED	net_sale	1493.0000
S20260901_24	ARCHIVED	paid_order_cnt	5.0000
S20260901_22	ARCHIVED	avg_order_value	408.4000
S20260901_22	ARCHIVED	gmv	2042.0000
S20260901_22	ARCHIVED	net_sale	1493.0000
S20260901_22	ARCHIVED	paid_order_cnt	5.0000
S20260901_25	ARCHIVED	avg_order_value	408.4000
S20260901_25	ARCHIVED	gmv	2042.0000
S20260901_25	ARCHIVED	net_sale	1493.0000
S20260901_25	ARCHIVED	paid_order_cnt	5.0000
S20260901_29	ARCHIVED	avg_order_value	1633.6000
S20260901_29	ARCHIVED	gmv	8168.0000
S20260901_29	ARCHIVED	net_sale	5972.0000
S20260901_29	ARCHIVED	paid_order_cnt	5.0000
S20260901_30	ACTIVE	avg_order_value	408.4000
S20260901_30	ACTIVE	gmv	2042.0000
S20260901_30	ACTIVE	net_sale	1493.0000
S20260901_30	ACTIVE	paid_order_cnt	5.0000
