# 批次 45 隔离记录（只读导出，含文件内序号 qline 作为与夹具行序的连接键）
# 导出时间: 2026-09-12 22:09:55  来源: analytics_meta.quarantine_record WHERE batch_id=45
file	qline	rec_id	event_id	reason
b1a-envelope-vocab.jsonl	1	113	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	2	114	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	3	115	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	4	116	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	5	117	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	6	118	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	7	119	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	8	120	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	9	121	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	10	122	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	11	123	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	12	124	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	13	125	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	14	126	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	15	127	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	16	128	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	17	129	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	18	130	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	19	131	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	20	132	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	21	133	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	22	134	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	23	135	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	24	136	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	25	137	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	26	138	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	27	139	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	28	140	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	29	141	<NULL>	缺失必要字段: event_id
b1a-envelope-vocab.jsonl	30	142	<NULL>	缺失必要字段: event_id
b1b-payload-vocab.jsonl	1	143	b1b-evt-0001	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	2	144	b1b-evt-0002	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	3	145	b1b-evt-0003	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	4	146	b1b-evt-0004	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	5	147	b1b-evt-0005	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	6	148	b1b-evt-0006	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	7	149	b1b-evt-0007	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	8	150	b1b-evt-0008	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	9	151	b1b-evt-0009	payload 缺失必要字段: user_id
b1b-payload-vocab.jsonl	10	152	b1b-evt-0010	payload 缺失必要字段: user_id
